DateTime,Entries,UniqueIPs
1642602124,6343,6561
1642604524,6340,6558
1642605124,6339,6557
1642606324,6340,6558
1642608725,6337,6555
1642609924,6333,6551
1642611724,6332,6550
1642612325,6333,6551
1642612924,6332,6550
1642614125,6333,6551
1642615325,6332,6551
1642616524,6325,6544
1642619525,6324,6543
1642621325,6326,6545
1642621924,6327,6546
1642622524,6326,6544
1642623724,6327,6545
1642624924,6327,6545
1642625524,6328,6546
1642626124,6324,6542
1642626725,6322,6540
1642628524,6321,6539
1642629124,6320,6538
1642631524,6321,6540
1642632124,6322,6541
1642633924,6322,6540
1642634524,6319,6537
1642635725,6318,6535
1642636924,6317,6534
1642637524,6315,6532
1642638124,6314,6531
1642639324,6305,6522
1642641124,6300,6516
1642642324,6300,6516
1642642924,6297,6513
1642643524,6295,6511
1642645323,6295,6511
1642646525,6291,6507
1642648924,6285,6501
1642650125,6292,6509
1642650724,6293,6510
1642652524,6292,6509
1642653125,6293,6510
1642653725,6290,6507
1642654324,6293,6510
1642654924,6294,6511
1642656124,6289,6506
1642656724,6290,6507
1642659724,6290,6507
1642660924,6290,6506
1642661524,6291,6507
1642662124,6292,6508
1642662725,6291,6507
1642664525,6285,6501
1642665725,6285,6501
1642666325,6284,6500
1642668125,6284,6500
1642668725,6286,6502
1642670524,6282,6497
1642671725,6279,6493
1642673525,6274,6491
1642674124,6272,6489
1642675924,6270,6487
1642676524,6267,6484
1642678324,6269,6487
1642679524,6265,6483
1642680724,6260,6478
1642681924,6261,6479
1642683124,6260,6478
1642683724,6257,6475
1642686125,6256,6474
1642686724,6252,6470
1642687324,6253,6471
1642690924,6254,6472
1642693324,6275,6494
1642693924,6271,6490
1642695723,6270,6489
1642696925,6271,6491
1642697524,6272,6492
1642698724,6273,6493
1642703525,6270,6490
1642704125,6271,6491
1642705924,6269,6489
1642707124,6281,6502
1642709524,6280,6501
1642710124,6278,6499
1642711324,6266,6486
1642713724,6263,6483
1642716124,6259,6478
1642717924,6260,6479
1642719124,6258,6475
1642720324,6256,6471
1642721524,6257,6472
1642722125,6253,6468
1642722724,6254,6469
1642723324,6253,6468
1642723925,6251,6466
1642726323,6250,6464
1642726923,6251,6465
1642728124,6248,6461
1642728724,6246,6459
1642729324,6245,6458
1642729924,6242,6455
1642730524,6239,6452
1642731125,6232,6444
1642732324,6230,6442
1642732925,6226,6438
1642734726,6218,6430
1642735925,6217,6429
1642737124,6219,6431
1642738924,6220,6432
1642739525,6219,6431
1642740124,6220,6432
1642740724,6217,6429
1642741925,6216,6428
1642742524,6214,6426
1642743724,6211,6423
1642744324,6203,6415
1642746124,6203,6415
1642746724,6202,6414
1642747324,6200,6412
1642748523,6199,6411
1642750324,6200,6410
1642753325,6198,6408
1642754525,6196,6406
1642755724,6196,6406
1642756924,6195,6405
1642758725,6194,6404
1642760524,6193,6403
1642762324,6194,6404
1642763525,6188,6398
1642765924,6189,6399
1642766524,6188,6398
1642768925,6187,6397
1642770124,6185,6394
1642771325,6185,6395
1642772525,6186,6396
1642773724,6186,6396
1642775525,6185,6395
1642776124,6186,6396
1642777324,6187,6397
1642779124,6188,6398
1642780324,6189,6399
1642781524,6185,6395
1642783326,6185,6395
1642783924,6184,6394
1642786324,6185,6395
1642786924,6185,6395
1642791124,6186,6396
1642791724,6187,6397
1642792325,6188,6398
1642793524,6188,6398
1642794724,6191,6400
1642795324,6192,6401
1642796524,6195,6404
1642797725,6193,6402
1642798324,6183,6392
1642798924,6152,6361
1642800124,6150,6359
1642800724,6152,6361
1642802525,6153,6362
1642803125,6155,6364
1642803724,6154,6362
1642804925,6153,6361
1642806124,6154,6362
1642806724,6153,6361
1642807925,6152,6360
1642808526,6151,6359
1642809124,6153,6361
1642809724,6152,6360
1642810924,6154,6362
1642811525,6155,6363
1642813925,6154,6362
1642814525,6156,6364
1642815125,6154,6362
1642816324,6152,6359
1642816924,6148,6355
1642819325,6143,6350
1642819925,6145,6352
1642820524,6144,6351
1642821126,6134,6341
1642821724,6135,6342
1642822925,6135,6341
1642823525,6134,6340
1642824725,6131,6337
1642825324,6132,6338
1642826526,6127,6331
1642827724,6128,6332
1642828325,6129,6333
1642830125,6134,6338
1642830724,6132,6336
1642832524,6121,6324
1642833125,6116,6319
1642833725,6115,6318
1642834924,6113,6315
1642835525,6114,6316
1642836725,6114,6316
1642837924,6111,6313
1642839725,6112,6314
1642840925,6112,6314
1642841524,6111,6313
1642843924,6110,6312
1642845125,6111,6313
1642846325,6112,6314
1642846924,6114,6316
1642848725,6109,6311
1642849324,6106,6308
1642851725,6113,6315
1642852924,6116,6318
1642853525,6112,6314
1642854725,6113,6315
1642855924,6110,6311
1642857724,6107,6308
1642858325,6104,6305
1642858925,6105,6306
1642860725,6104,6305
1642862525,6102,6303
1642863724,6105,6306
1642864924,6089,6290
1642865525,6121,6323
1642866725,6107,6309
1642868525,6102,6304
1642869125,6099,6301
1642869726,6099,6301
1642870924,6101,6303
1642871525,6100,6302
1642873325,6101,6303
1642874524,6100,6302
1642875724,6099,6300
1642876925,6098,6299
1642878124,6095,6296
1642881124,6100,6301
1642881724,6098,6299
1642882324,6096,6297
1642882924,6101,6302
1642884125,6105,6305
1642885324,6104,6304
1642885925,6105,6305
1642886523,6104,6304
1642887124,6102,6300
1642887725,6101,6299
1642888924,6105,6303
1642890124,6108,6306
1642890724,6103,6298
1642891924,6100,6292
1642893125,6102,6294
1642893724,6097,6286
1642894325,6098,6287
1642894924,6096,6284
1642896124,6117,6307
1642897325,6111,6301
1642899124,6103,6293
1642899725,6100,6290
1642900325,6091,6281
1642901525,6092,6282
1642902724,6091,6280
1642903324,6089,6278
1642903926,6091,6280
1642905124,6090,6279
1642906324,6091,6280
1642907525,6091,6280
1642909325,6085,6274
1642910525,6085,6274
1642911125,6086,6276
1642911724,6083,6273
1642912325,6084,6274
1642913525,6083,6273
1642914124,6082,6272
1642917124,6081,6271
1642918925,6082,6272
1642920125,6082,6272
1642920724,6083,6273
1642921324,6086,6276
1642922524,6091,6281
1642923125,6091,6281
1642923725,6094,6284
1642924325,6085,6275
1642925526,6084,6274
1642926125,6070,6260
1642927326,6063,6253
1642927925,6065,6255
1642929724,6064,6254
1642930927,6065,6255
1642931524,6066,6256
1642932728,6066,6256
1642935125,6065,6256
1642936924,6068,6259
1642939926,6065,6258
1642940525,6066,6259
1642942324,6064,6257
1642943526,6065,6258
1642944125,6057,6250
1642944725,6058,6251
1642945925,6053,6246
1642947126,6051,6244
1642947725,6052,6245
1642948326,6050,6243
1642949524,6048,6241
1642950726,6046,6240
1642951925,6049,6243
1642952526,6050,6244
1642953124,6024,6218
1642954924,6008,6202
1642957324,6010,6204
1642960924,6010,6204
1642962125,6011,6205
1642963327,6012,6206
1642966325,6010,6204
1642967525,5992,6186
1642968124,5969,6163
1642969926,5968,6162
1642971124,5969,6163
1642971726,5968,6162
1642973526,5968,6162
1642974127,5970,6164
1642975926,5969,6163
1642977727,5970,6164
1642980125,5973,6167
1642981326,5971,6164
1642981924,5972,6165
1642982526,5959,6152
1642983126,5945,6138
1642983725,5930,6124
1642984926,5946,6140
1642985524,5945,6139
1642986125,5944,6138
1642987925,5946,6140
1642989125,5945,6139
1642990328,5944,6138
1642990925,5946,6140
1642992127,5947,6141
1642992725,5946,6140
1642993325,5945,6139
1642994525,5946,6140
1642995726,5948,6142
1642996324,5945,6141
1642997527,5944,6140
1642999327,5943,6139
1642999925,5949,6145
1643000524,5950,6146
1643001724,5947,6143
1643002926,5944,6140
1643003524,5945,6141
1643005325,5947,6143
1643007124,5947,6143
1643008327,5946,6142
1643009526,5945,6141
1643010126,5944,6140
1643011325,5945,6141
1643011926,5946,6142
1643014925,5948,6144
1643015526,5947,6143
1643016124,5948,6144
1643016727,5947,6143
1643017328,5945,6140
1643019724,5946,6141
1643020325,5947,6142
1643020927,5946,6141
1643022726,5943,6139
1643023324,5944,6140
1643024525,5945,6141
1643026326,5945,6141
1643028126,5943,6139
1643029325,5941,6137
1643031727,5940,6136
1643032324,5941,6137
1643033526,5941,6137
1643034125,5942,6138
1643035326,5945,6139
1643035924,5946,6140
1643036525,5944,6138
1643037724,5945,6139
1643038325,6005,6199
1643038925,6004,6199
1643039525,6003,6198
1643040726,6004,6199
1643041925,6004,6196
1643045525,6002,6193
1643046724,6001,6191
1643048524,5998,6188
1643050324,5997,6187
1643051525,5996,6186
1643052124,5994,6184
1643052725,5996,6186
1643053924,5995,6183
1643054525,5997,6185
1643055126,5997,6184
1643055724,5998,6185
1643056325,5954,6140
1643057525,5940,6126
1643058727,5936,6122
1643062924,5937,6123
1643063525,5936,6122
1643064725,5937,6123
1643066524,5938,6124
1643067726,5941,6127
1643068925,5948,6134
1643070124,5950,6136
1643070726,5951,6137
1643071924,5955,6141
1643073126,5956,6142
1643074324,5957,6143
1643074925,5954,6140
1643075524,5955,6141
1643077325,5956,6142
1643078527,5958,6144
1643080925,5959,6145
1643082127,5960,6146
1643083926,5960,6146
1643085726,5961,6147
1643086924,5964,6150
1643088725,5962,6148
1643090524,5923,6108
1643091725,5914,6099
1643092325,5914,6099
1643093524,5962,6147
1643094125,5963,6148
1643094726,5961,6146
1643097724,5960,6145
1643098326,5959,6144
1643099525,5958,6143
1643100724,5959,6144
1643101324,5961,6146
1643103726,5962,6147
1643104326,5961,6146
1643105526,5960,6145
1643106124,5961,6146
1643107326,5963,6148
1643107924,5961,6146
1643108524,5955,6140
1643110926,5953,6138
1643112725,5957,6142
1643113324,5959,6144
1643114527,5963,6148
1643115725,5964,6149
1643116326,5965,6150
1643118126,5970,6155
1643118724,5972,6157
1643119324,5972,6157
1643121124,5973,6159
1643122924,5975,6161
1643124124,5984,6171
1643125326,5985,6172
1643127724,5987,6173
1643128927,5988,6174
1643130125,5988,6174
1643132526,5987,6173
1643135525,5990,6176
1643136126,5991,6177
1643137324,5988,6174
1643138525,5987,6173
1643139125,5987,6173
1643140324,5989,6175
1643140924,5989,6175
1643143924,5986,6172
