DateTime,AddedIPs,RemovedIPs
1643067006,254,111
1643068443,64,11
1643068808,19,262
1643069163,45,64
1643069883,52,0
1643070970,297,0
1643071326,59,81
1643073126,12,9
1643073482,165,61
1643075288,92,92
1643075643,55,0
1643076783,89,58
1643077232,14,10
1643077806,64,62
1643079128,72,25
1643079243,25,0
1643080382,86,68
1643081049,13,14
1643081763,83,75
1643082483,39,0
1643082991,21,5
1643083923,89,46
1643084891,52,3
1643085364,56,69
1643085725,17,12
1643087050,65,49
1643087882,41,0
1643088993,23,17
1643089323,85,72
1643089684,32,0
1643090889,83,76
1643092205,68,43
1643093050,42,18
1643093284,72,24
1643094991,17,12
1643095503,113,56
1643096889,18,10
1643099048,166,159
1643099104,61,1
1643100124,58,86
1643100966,23,15
1643101214,60,45
1643101924,55,0
1643102910,22,10
1643103724,116,157
1643104823,75,10
1643105883,54,56
1643106969,56,76
1643107322,37,20
1643108043,30,0
1643109127,34,1298
1643111288,180,191
1643111703,64,0
1643112843,48,48
1643113447,662,0
1643113982,49,52
1643115394,88,52
1643116323,46,42
1643117286,45,37
1643117405,36,48
1643118544,49,10
1643119448,21,19
1643119564,53,73
1643121610,109,116
1643123163,89,79
1643123772,33,20
1643124605,829,106
1643125710,17,11
1643126043,81,29
1643127609,20,18
1643127843,92,52
1643129768,116,216
1643130723,38,95
1643131927,55,281
1643132884,84,152
1643133847,14,17
1643134683,68,86
1643135793,28,31
1643136483,626,120
1643137008,17,0
1643137685,14,16
1643137923,50,95
1643138643,53,0
1643139606,41,133
1643140443,43,9
1643141814,78,113
1643142604,53,94
1643143688,62,50
1643144043,35,0
1643145850,88,111
1643146206,42,80
1643147282,53,35
1643147790,14,34
1643149689,174,96
1643150163,51,81
1643151633,23,47
1643151963,103,54
1643152324,14,0
1643153530,49,61
1643153763,28,115
1643155475,580,0
1643155982,117,83
1643157368,20,20
1643158445,104,96
1643159527,15,48
1643160243,73,74
1643160963,23,98
1643161687,19,24
1643162523,91,102
1643163849,57,13
1643164205,25,81
1643164924,33,10
1643165766,13,19
1643166363,71,61
1643167709,18,15
1643168164,80,85
1643168525,16,7
1643169615,62,10
1643170684,47,35
1643171769,27,19
1643173927,68,88
1643176089,185,181
1643176444,36,0
1643177522,47,48
1643178008,16,17
1643178243,27,0
1643178963,34,64
1643179950,46,37
1643180412,31,118
1643181123,40,0
1643181852,12,16
1643182262,58,159
1643183284,41,24
1643183791,19,23
1643184723,132,72
1643185690,52,32
1643186164,24,100
1643186523,33,0
1643187623,69,33
1643188323,52,56
1643189043,48,0
1643189554,11,33
1643189763,42,89
1643191471,16,30
1643192282,128,57
1643193374,55,108
1643194442,65,0
1643195527,57,1318
