DateTime,Entries,UniqueIPs
1642819709,6506,6535
1642820438,6507,6535
1642821148,6511,6539
1642821869,6512,6540
1642822594,6514,6542
1642823547,6517,6545
1642824272,6514,6542
1642824993,6515,6543
1642825950,6517,6545
1642826672,6519,6547
1642827389,6515,6543
1642828107,6515,6543
1642829070,6516,6544
1642829788,6517,6545
1642830750,6513,6541
1642831470,6513,6541
1642832187,6516,6544
1642832911,6516,6544
1642834350,6515,6543
1642835079,6518,6546
1642835790,6505,6532
1642837229,6505,6532
1642837949,6508,6535
1642838673,6510,6537
1642839387,6510,6537
1642840107,6509,6536
1642840830,6510,6537
1642841549,6509,6536
1642842272,6513,6540
1642843231,6514,6541
1642843948,6511,6538
1642844672,6510,6537
1642845387,6508,6535
1642846108,6507,6534
1642846830,6508,6535
1642847548,6509,6536
1642848270,6511,6538
1642849229,6513,6540
1642849948,6513,6540
1642850673,6517,6544
1642851392,6518,6545
1642852111,6519,6546
1642852839,6516,6543
1642853551,6518,6545
1642854269,6518,6545
1642854991,6517,6544
1642855709,6519,6546
1642856451,6521,6548
1642857392,6521,6548
1642858108,6516,6543
1642858829,6519,6546
1642859547,6520,6547
1642860270,6521,6548
1642860993,6519,6546
1642861948,6519,6546
1642862674,6513,6540
1642863390,6508,6535
1642864108,6512,6539
1642864830,6508,6535
1642865547,6512,6539
1642866268,6512,6539
1642866989,6514,6541
1642867709,6511,6538
1642868431,6509,6536
1642869149,6509,6536
1642869870,6508,6535
1642870590,6503,6531
1642871307,6504,6532
1642872029,6503,6531
1642872748,6500,6528
1642873468,6493,6521
1642874188,6490,6518
1642875185,6492,6520
1642875871,6494,6522
1642876592,6493,6521
1642877308,6494,6522
1642878042,6485,6513
1642878748,6488,6516
1642879473,6489,6517
1642880213,6490,6518
1642880915,6489,6517
1642881640,6489,6517
1642882348,6491,6519
1642883074,6487,6515
1642883791,6487,6515
1642884512,6484,6512
1642885235,6490,6518
1642885950,6488,6515
1642886670,6490,6517
1642887394,6490,6517
1642888108,6487,6514
1642889076,6487,6514
1642889788,6489,6516
1642890511,6489,6516
1642891229,6489,6516
1642891947,6491,6518
1642892673,6486,6513
1642893392,6489,6516
1642894108,6491,6518
1642894832,6486,6513
1642895552,6488,6515
1642896278,6487,6514
1642896994,6484,6511
1642897708,6489,6516
1642898671,6480,6507
1642899389,6484,6511
1642900110,6483,6510
1642900832,6485,6512
1642901547,6479,6506
1642902269,6473,6500
1642902991,6478,6505
1642903708,6482,6509
1642904672,6469,6496
1642905388,6479,6506
1642906111,6470,6497
1642906842,6463,6490
1642908269,6462,6489
1642908989,6465,6492
1642909709,6470,6497
1642910441,6471,6498
1642911149,6470,6497
1642911871,6471,6498
1642912594,6472,6499
1642913310,6475,6502
1642914041,6478,6505
1642914751,6475,6502
1642915472,6481,6508
1642916435,6480,6507
1642917149,6482,6509
1642917874,6483,6510
1642918587,6486,6513
1642919309,6485,6512
1642920272,6489,6516
1642920989,6489,6516
1642921952,6492,6519
1642922672,6491,6518
1642923391,6497,6524
1642924110,6494,6521
1642924840,6489,6516
1642925548,6488,6515
1642926515,6489,6516
1642927229,6492,6519
1642927954,6485,6512
1642928678,6483,6510
1642929388,6488,6515
1642930351,6487,6514
1642931070,6490,6517
1642931794,6489,6516
1642932508,6487,6514
1642933231,6486,6513
1642934193,6485,6512
1642934907,6482,6509
1642935636,6484,6511
1642936349,6483,6510
1642937071,6484,6511
1642937793,6479,6506
1642938511,6481,6508
1642939229,6481,6508
1642939948,6483,6510
1642940672,6481,6508
1642941391,6488,6515
1642942110,6486,6513
1642942828,6482,6509
1642943547,6477,6504
1642944268,6475,6502
1642944990,6471,6498
1642945708,6473,6500
1642946441,6473,6500
1642947153,6475,6502
1642947871,6475,6502
1642948589,6480,6507
1642949309,6480,6507
1642950038,6482,6509
1642950750,6472,6499
1642951473,6469,6496
1642952192,6467,6494
1642952907,6469,6496
1642953630,6469,6496
1642954588,6467,6494
1642955314,6467,6494
1642956029,6463,6490
1642956748,6465,6492
1642957473,6463,6490
1642958191,6463,6490
1642958911,6468,6495
1642959630,6469,6496
1642960348,6463,6489
1642961072,6464,6490
1642961787,6464,6490
1642962511,6463,6489
1642963231,6468,6494
1642964191,6469,6495
1642964909,6471,6497
1642965633,6469,6495
1642966348,6467,6493
1642967070,6467,6493
1642968030,6466,6492
1642968747,6469,6495
1642969473,6463,6489
1642970191,6465,6491
1642970911,6463,6489
1642971875,6449,6475
1642972592,6447,6473
1642973310,6451,6477
1642974032,6447,6473
1642974748,6444,6470
1642975713,6446,6472
1642976429,6447,6473
1642977151,6441,6467
1642977870,6440,6466
1642978589,6441,6467
1642979550,6435,6461
1642980272,6431,6457
1642980993,6433,6459
1642981708,6434,6460
1642982675,6436,6462
1642983390,6436,6462
1642984109,6432,6458
1642985548,6428,6454
1642986272,6431,6457
1642986990,6431,6457
1642987710,6431,6457
1642988434,6427,6453
1642989149,6432,6458
1642989875,6433,6459
1642990587,6435,6461
1642991307,6429,6455
1642992029,6431,6457
1642992749,6432,6458
1642993482,6431,6457
1642994190,6440,6466
1642995150,6438,6464
1642995869,6438,6464
1642996591,6433,6459
1642997307,6432,6458
1642998032,6432,6458
1642998747,6430,6456
1642999468,6430,6456
1643000190,6431,6457
1643000907,6434,6460
1643001634,6428,6454
1643002348,6427,6453
1643003071,6426,6452
1643003792,6428,6454
1643004510,6427,6453
1643005231,6426,6452
1643005951,6423,6449
1643007391,6415,6441
1643008350,6419,6445
1643009314,6418,6444
1643010035,6415,6441
1643010753,6416,6442
1643011474,6415,6441
1643012191,6416,6442
1643012909,6420,6446
1643013632,6423,6449
1643014596,6423,6449
1643015312,6421,6447
1643016274,6428,6454
1643016995,6429,6455
1643017709,6428,6454
1643018443,6430,6456
1643019152,6432,6458
1643019873,6435,6461
1643020594,6436,6462
1643021555,6435,6461
1643022273,6434,6460
1643022993,6433,6459
1643023711,6433,6459
1643024432,6428,6454
1643025155,6429,6455
1643025874,6427,6453
1643026591,6426,6452
1643027550,6426,6452
1643028272,6424,6450
1643029243,6429,6455
1643029953,6432,6458
1643030673,6431,6457
1643031394,6429,6455
1643032109,6433,6459
1643032842,6433,6459
1643033799,6440,6466
1643034511,6441,6467
1643035233,6441,6467
1643035949,6442,6468
1643036672,6442,6468
1643037392,6441,6467
1643038111,6445,6471
1643038833,6441,6468
1643039794,6441,6468
1643040510,6445,6472
1643041474,6443,6470
1643042195,6448,6475
1643042910,6446,6473
1643043874,6441,6468
1643044590,6442,6469
1643045313,6445,6472
1643046033,6445,6472
1643046750,6442,6469
1643047473,6445,6472
1643048191,6445,6472
1643048909,6448,6475
1643049876,6449,6476
1643050592,6452,6479
1643051312,6447,6474
1643052031,6457,6484
1643052750,6460,6487
1643053472,6457,6484
1643054195,6463,6490
1643054910,6464,6491
1643055876,6465,6492
1643056593,6466,6494
1643057312,6470,6498
1643058035,6472,6500
1643058752,6469,6497
1643059472,6475,6503
1643060191,6477,6505
1643060909,6474,6502
1643061647,6476,6504
1643062351,6473,6501
1643063073,6472,6500
1643063791,6475,6503
1643064508,6470,6497
1643065477,6471,6498
1643066189,6469,6496
1643066911,6469,6496
1643067632,6469,6496
1643068349,6468,6495
1643069075,6470,6497
1643069789,6472,6499
1643070508,6473,6500
1643071232,6468,6495
1643071952,6471,6498
1643072675,6467,6494
1643073394,6468,6495
1643074109,6473,6500
1643074831,6473,6500
1643075792,6468,6495
1643076510,6467,6494
1643077234,6461,6488
1643077952,6460,6487
1643078671,6461,6488
1643079391,6466,6493
1643080052,6462,6489
1643080832,6475,6502
1643081550,6481,6508
1643082271,6481,6508
1643082992,6482,6509
1643083709,6481,6508
1643084431,6489,6516
1643085149,6481,6508
1643085871,6484,6511
1643086590,6484,6511
1643087550,6485,6512
1643088271,6487,6514
1643088995,6488,6515
1643089711,6492,6519
1643090443,6494,6521
1643091149,6494,6521
1643091874,6495,6522
1643092599,6494,6521
1643093555,6493,6520
1643094278,6492,6519
1643094993,6497,6524
1643095711,6498,6525
1643096431,6499,6526
1643097151,6501,6528
1643097873,6504,6531
1643098591,6503,6530
1643099312,6504,6531
1643100749,6503,6530
1643101472,6502,6529
1643102195,6499,6526
1643102912,6504,6531
1643103633,6503,6530
1643104349,6509,6536
1643105071,6506,6533
1643105790,6506,6533
1643106511,6507,6534
1643107233,6508,6535
1643107954,6511,6538
1643108672,6510,6537
1643109390,6511,6538
1643110110,6511,6538
1643110834,6509,6536
1643111551,6514,6541
1643112271,6511,6538
1643112994,6509,6536
1643113951,6511,6538
1643114671,6511,6538
1643115396,6513,6540
1643116110,6512,6539
1643116832,6513,6540
1643117551,6514,6541
1643118271,6513,6540
1643118992,6513,6540
1643119716,6511,6538
1643120430,6508,6535
1643121150,6508,6535
1643121871,6505,6532
1643122592,6506,6533
1643123315,6511,6538
1643124273,6513,6540
1643124995,6518,6545
1643125712,6518,6545
1643126431,6516,6543
1643127151,6516,6543
1643127871,6523,6550
1643128592,6521,6548
1643129310,6519,6546
1643130033,6524,6551
1643130753,6525,6552
1643131478,6528,6555
1643132191,6527,6554
1643132911,6523,6550
1643133632,6525,6552
1643134349,6526,6553
1643135071,6526,6553
1643135810,6522,6549
1643136509,6523,6550
1643137232,6525,6552
1643137952,6522,6549
1643138674,6522,6549
1643139394,6521,6548
1643140109,6520,6547
1643140831,6522,6549
1643141817,6518,6545
1643142510,6512,6539
1643143235,6510,6537
1643143950,6507,6534
1643144672,6511,6538
1643145389,6509,6536
1643146356,6508,6535
1643147074,6504,6531
1643147792,6505,6532
1643148509,6504,6531
1643149233,6505,6532
1643150198,6506,6533
1643150914,6505,6532
1643151635,6506,6533
1643152350,6506,6533
1643153074,6507,6534
1643154046,6504,6531
1643154755,6504,6531
1643155477,6503,6530
1643156191,6500,6527
1643156909,6503,6530
1643157630,6500,6527
1643158350,6494,6521
1643159077,6494,6521
1643159789,6496,6523
1643160511,6494,6521
1643161234,6497,6524
1643161951,6500,6527
1643162673,6495,6522
1643163394,6493,6520
1643164109,6489,6516
1643164831,6490,6517
1643165550,6491,6518
1643166276,6485,6512
1643166992,6487,6514
1643167711,6210,6229
1643168433,6216,6235
1643169154,6216,6235
1643169871,6215,6234
1643170592,6213,6232
1643171311,6220,6239
1643172032,6220,6239
1643172750,6226,6245
1643173474,6223,6242
1643174193,6222,6241
1643174910,6224,6243
1643175635,6225,6244
1643176349,6225,6244
1643177072,6228,6247
1643177790,6226,6245
1643178512,6232,6251
1643179231,6235,6254
1643179952,6238,6257
1643180680,6240,6259
1643181392,6245,6264
1643182357,6245,6264
1643183071,6245,6264
1643183793,6243,6262
1643184511,6245,6264
1643185232,6246,6265
1643185949,6243,6262
1643186671,6246,6265
1643187389,6244,6263
1643188110,6243,6262
1643188831,6245,6264
1643190259,6245,6264
1643190968,6246,6264
1643191687,6245,6263
1643192406,6247,6265
1643193126,6246,6264
1643193847,6246,6264
1643194567,6248,6266
1643195529,6247,6265
1643196249,6244,6262
